REPAY_MAX_PMT_SPAN_6M              	float64             	Repay               
REPAY_AVG_PMT_SPAN_6M              	float64             	Repay               
ACTUAL_REPAY_TOT_AMT_6M            	float64             	Repay               
ACTUAL_REPAY_TOT_BAL_6M            	float64             	Repay               
REPAY_AVG_PAYDOWN_RT_ARM_6M        	float64             	Repay               
REPAY_MAX_PAYDOWN_RT_ARM_6M        	float64             	Repay               
REPAY_MIN_PAYDOWN_RT_ARM_6M        	float64             	Repay               
REPAY_LATEFEE_TOT_CNT_6M           	float64             	Repay               
REPAY_LATEFEE_TOT_AMT_6M           	float64             	Repay               
REPAY_LATEFEE_MAX_AMT_6M           	float64             	Repay               
REPAY_LATEFEE_AVG_AMT_6M           	float64             	Repay               
MON_SNC_1ST_LATEFEE_PAID_6M        	float64             	Repay               
MON_SNC_LST_LATEFEE_PAID_6M        	float64             	Repay               
REPAY_PNLT_INTR_TOT_CNT_6M         	float64             	Repay               
REPAY_PNLT_INTR_TOT_AMT_6M         	float64             	Repay               
REPAY_PNLT_INTR_MAX_AMT_6M         	float64             	Repay               
REPAY_PNLT_INTR_AVG_AMT_6M         	float64             	Repay               
MON_SNC_1ST_PNLT_INTR_PAID_6M      	float64             	Repay               
MON_SNC_LST_PNLT_INTR_PAID_6M      	float64             	Repay               
REPAY_FULL_SRVC_FEE_CNT_6M         	float64             	Repay               
REPAY_FULL_SRVC_FEE_RT_6M          	float64             	Repay               
MON_SNC_1ST_FULL_SRVC_FEE_6M       	float64             	Repay               
MON_SNC_LST_FULL_SRVC_FEE_6M       	float64             	Repay               
REPAY_FULL_INTRST_CNT_6M           	float64             	Repay               
REPAY_FULL_INTRST_RT_6M            	float64             	Repay               
MON_SNC_1ST_FULL_INTRST_6M         	float64             	Repay               
MON_SNC_LST_FULL_INTRST_6M         	float64             	Repay               
REPAY_FULL_PRNCPL_CNT_6M           	float64             	Repay               
REPAY_FULL_PRNCPL_RT_6M            	float64             	Repay               
MON_SNC_1ST_FULL_PRNCPL_6M         	float64             	Repay               
MON_SNC_LST_FULL_PRNCPL_6M         	float64             	Repay               
R_REPAY_AVG2MAX_PYMT_CNT_LF        	float64             	Repay               
R_REPAY_AVG2MAX_PMT_SPAN_LF        	float64             	Repay               
REPAY_AVG_PAYDOWN_RT_GEO_LF        	float64             	Repay               
R_REPAY_AVG2MAX_PYMT_CNT_3M        	float64             	Repay               
R_REPAY_AVG2MAX_PMT_SPAN_3M        	float64             	Repay               
REPAY_AVG_PAYDOWN_RT_GEO_3M        	float64             	Repay               
R_REPAY_AVG2MAX_PYMT_CNT_6M        	float64             	Repay               
R_REPAY_AVG2MAX_PMT_SPAN_6M        	float64             	Repay               
REPAY_AVG_PAYDOWN_RT_GEO_6M        	float64             	Repay               
COLCALL_CNT_TOT_LF                 	float64             	Collection          
COLCALL_STATUS_TOT_LF              	float64             	Collection          
COLCALL_DISTEL_TOT_LF              	float64             	Collection          
COLCALL_DISPROV_CNT_LF             	float64             	Collection          
COLCALL_D_S_LST_LF                 	float64             	Collection          
COLCALL_D_S_1ST_LF                 	float64             	Collection          
COLCALL_CNT_TOT_3M                 	float64             	Collection          
COLCALL_STATUS_TOT_3M              	float64             	Collection          
COLCALL_DISTEL_TOT_3M              	float64             	Collection          
COLCALL_DISPROV_CNT_3M             	float64             	Collection          
COLCALL_D_S_LST_3M                 	float64             	Collection          
COLCALL_D_S_1ST_3M                 	float64             	Collection          
COLCALL_CNT_TOT_6M                 	float64             	Collection          
COLCALL_STATUS_TOT_6M              	float64             	Collection          
COLCALL_DISTEL_TOT_6M              	float64             	Collection          
COLCALL_DISPROV_CNT_6M             	float64             	Collection          
COLCALL_D_S_LST_6M                 	float64             	Collection          
COLCALL_D_S_1ST_6M                 	float64             	Collection          
COLVISIT_CNT_TOT                   	float64             	Collection          
COLVISIT_COMPLET_TOT               	float64             	Collection          
COLVISIT_D_S_LST                   	float64             	Collection          
COLVISIT_D_S_1ST                   	float64             	Collection          
COLPTP_CNT_TOT                     	float64             	Collection          
COLPTP_SUCCESSD_CNT                	float64             	Collection          
COLPTP_FAIL_CNT                    	float64             	Collection          
COLPTP_AMT_TOT                     	float64             	Collection          
COLPTP_DIFF_MIN_DT                 	float64             	Collection          
COLPTP_DIFF_MAX_DT                 	float64             	Collection          
COLPTP_SUCC_DIFF_MIN_DT            	float64             	Collection          
COLPTP_SUCC_DIFF_MAX_DT            	float64             	Collection          
COLPTP_FAIL_DIFF_MIN_DT            	float64             	Collection          
COLPTP_FAIL_DIFF_MAX_DT            	float64             	Collection          
LAC_FPD_RATE_CNT_1M                	float64             	RADD                
LAC_M1_RATE_CNT_1M                 	float64             	RADD                
LAC_M2_GE_RATE_CNT_1M              	float64             	RADD                
LAC_FPD_RATE_AMT_1M                	float64             	RADD                
LAC_M1_RATE_AMT_1M                 	float64             	RADD                
LAC_M2_GE_RATE_AMT_1M              	float64             	RADD                
LAC_FPD_RATE_CNT_3M                	float64             	RADD                
LAC_M1_RATE_CNT_3M                 	float64             	RADD                
LAC_M2_GE_RATE_CNT_3M              	float64             	RADD                
LAC_FPD_RATE_AMT_3M                	float64             	RADD                
LAC_M1_RATE_AMT_3M                 	float64             	RADD                
LAC_M2_GE_RATE_AMT_3M              	float64             	RADD                
LAP_FPD_RATE_CNT_1M                	float64             	RADD                
LAP_M1_RATE_CNT_1M                 	float64             	RADD                
LAP_M2_GE_RATE_CNT_1M              	float64             	RADD                
LAP_FPD_RATE_AMT_1M                	float64             	RADD                
LAP_M1_RATE_AMT_1M                 	float64             	RADD                
LAP_M2_GE_RATE_AMT_1M              	float64             	RADD                
LAP_FPD_RATE_CNT_3M                	float64             	RADD                
LAP_M1_RATE_CNT_3M                 	float64             	RADD                
LAP_M2_GE_RATE_CNT_3M              	float64             	RADD                
LAP_FPD_RATE_AMT_3M                	float64             	RADD                
LAP_M1_RATE_AMT_3M                 	float64             	RADD                
LAP_M2_GE_RATE_AMT_3M              	float64             	RADD                
ICP_FPD_RATE_CNT_1M                	float64             	RADD                
ICP_M1_RATE_CNT_1M                 	float64             	RADD                
ICP_M2_GE_RATE_CNT_1M              	float64             	RADD                
ICP_FPD_RATE_AMT_1M                	float64             	RADD                
ICP_M1_RATE_AMT_1M                 	float64             	RADD                
ICP_M2_GE_RATE_AMT_1M              	float64             	RADD                
ICP_FPD_RATE_CNT_3M                	float64             	RADD                
ICP_M1_RATE_CNT_3M                 	float64             	RADD                
ICP_M2_GE_RATE_CNT_3M              	float64             	RADD                
ICP_FPD_RATE_AMT_3M                	float64             	RADD                
ICP_M1_RATE_AMT_3M                 	float64             	RADD                
ICP_M2_GE_RATE_AMT_3M              	float64             	RADD                
LP_FPD_RATE_CNT_1M                 	float64             	RADD                
LP_M1_RATE_CNT_1M                  	float64             	RADD                
LP_M2_GE_RATE_CNT_1M               	float64             	RADD                
LP_FPD_RATE_AMT_1M                 	float64             	RADD                
LP_M1_RATE_AMT_1M                  	float64             	RADD                
LP_M2_GE_RATE_AMT_1M               	float64             	RADD                
LP_FPD_RATE_CNT_3M                 	float64             	RADD                
LP_M1_RATE_CNT_3M                  	float64             	RADD                
LP_M2_GE_RATE_CNT_3M               	float64             	RADD                
LP_FPD_RATE_AMT_3M                 	float64             	RADD                
